code,name,total,beer,wine,spirits,other
SLE,Sierra Leone,3.22,0.17,0.01,0.15,2.9
SGP,Singapore,1.81,1.26,0.27,0.24,0.04
SVK,Slovakia,10.3,4.14,2.01,4.14,0
SVN,Slovenia,11.05,4.54,5.26,1.26,0
SLB,Solomon Islands,1.19,1.1,0.06,0.02,0
SOM,Somalia,0,0,0,0,0
ZAF,South Africa,7.21,3.99,1.21,1.31,0.7
ESP,Spain,10.73,4.67,3.52,2.34,0.19
LKA,Sri Lanka,2.58,0.22,0.01,2.32,0.03
SDN,Sudan,NaN,NaN,NaN,NaN,NaN
SUR,Suriname,6.6,3.4,0.14,2.87,0.18
SWE,Sweden,7.1,2.6,3.4,1,0.1
CHE,Switzerland,9.41,3.17,4.35,1.76,0.12
SYR,Syrian Arab Republic,0.13,0.02,0,0.11,0
TJK,Tajikistan,0.85,0.38,0.01,0.45,0
TWN,Taiwan,NaN,NaN,NaN,NaN,NaN
THA,Thailand,6.86,1.85,0.23,4.78,0
MKD,North Macedonia,3.9,1.93,1.03,0.9,0.03
TLS,Timor-Leste,0.41,0.27,0.09,0.05,0
TGO,Togo,1.4,0.78,0.09,0.2,0.33
TON,Tonga,0.31,0.03,0.17,0.11,0
TTO,Trinidad and Tobago,5.81,2.92,0.16,2.65,0.09
TUN,Tunisia,1.51,0.99,0.32,0.17,0.03
TUR,Turkey,1.18,0.67,0.16,0.35,0
TKM,Turkmenistan,2.88,0.65,1.25,0.98,0
TUV,Tuvalu,0.93,0.01,0.69,0.22,0
UGA,Uganda,6.82,0.85,0.01,0.5,5.46
UKR,Ukraine,5.69,2.44,0.32,2.88,0.05
ARE,United Arab Emirates,2.03,0.21,0.14,1.65,0.02
GBR,United Kingdom of Great Britain and Northern Ireland,9.8,3.53,3.3,2.35,0.61
TZA,United Republic of Tanzania,7.81,0.74,0.09,0.38,6.6
USA,United States of America,8.93,3.97,1.67,3.29,0
URY,Uruguay,5.42,1.86,2.86,0.71,0
UZB,Uzbekistan,2.45,0.18,0.09,2.19,0
VUT,Vanuatu,1.6,0.34,0.39,0.87,0
VEN,Venezuela (Bolivarian Republic of),2.51,1.54,0.01,0.92,0.03
VNM,Viet Nam,3.41,3.18,0.02,0.21,0
PSE,West Bank,NaN,NaN,NaN,NaN,NaN
YEM,Yemen,0.02,0.02,0,0,0
ZMB,Zambia,3.82,1.26,0.04,0.36,2.16
ZWE,Zimbabwe,3.11,1.2,0.05,0.39,1.47
